id;placed_date;status;code;invoice_id;customer
1;2019-09-26T13:46:27;COMPLETED;paradigms Home;34507;deposit Canadian Dollar Lebanon
2;2019-09-26T03:54:46;CANCELLED;Ergonomic transmitter;36778;invoice withdrawal
3;2019-09-26T01:48:03;PENDING;Argentine Peso;85835;neural-net red
4;2019-09-25T21:35:31;CANCELLED;Sausages;69093;synthesize Creative
5;2019-09-26T11:21:32;CANCELLED;Fiji Dollar Profound Bacon;98216;Borders content-based
6;2019-09-25T14:44:59;CANCELLED;Human deposit;33902;cross-media
7;2019-09-25T21:14:12;COMPLETED;bypassing Marketing;78534;New Zealand Dollar Alabama transform
8;2019-09-25T16:05:47;CANCELLED;Latvia;69189;invoice Devolved
9;2019-09-25T21:34:02;CANCELLED;Fish;36646;program alarm
10;2019-09-26T07:15:58;CANCELLED;dedicated Persevering;97301;target Human withdrawal
